id,1,2,3,4,5,6,7,8,9,10
A,2,7,3,8,10,6,5,9,1,4
B,3,2,7,6,10,8,5,9,1,4
C,3,2,7,10,6,8,5,9,1,4
D,8,10,3,2,7,5,1,9,6,4
E,8,10,2,3,7,5,1,9,4,6
F,3,6,7,2,9,10,5,1,4,8
G,10,5,1,9,4,8,3,6,2,7
H,5,1,10,9,4,3,6,8,7,2
I,6,3,9,4,1,5,10,7,2,8
J,6,3,9,4,5,1,10,7,2,8
K,10,5,1,4,9,3,8,6,2,7
L,2,7,3,6,8,10,5,9,1,4
M,9,4,1,5,6,3,10,7,2,8
N,10,5,3,8,1,9,4,6,2,7
O,6,3,7,2,9,10,5,4,1,8
P,3,7,2,6,10,9,5,1,4,8
Q,6,3,9,4,1,5,10,7,2,8
R,9,4,1,6,5,3,10,7,2,8
S,6,3,9,7,2,5,4,10,1,8
T,7,2,3,6,10,5,9,1,8,4
U,6,3,9,4,1,5,10,7,2,8
V,7,2,3,6,10,9,5,1,4,8
W,8,10,5,3,1,2,9,7,4,6
X,10,5,1,9,4,3,6,8,2,7
Y,2,7,3,8,10,6,5,9,1,4
Z,10,5,1,9,3,8,4,6,2,7
